IATA	Timezone	Airport Name	City
KSV	Australia/Brisbane	Springvale Airport	
KSW	Asia/Jerusalem	Kiryat Shmona Airport	Kiryat Shmona
KSX	Pacific/Port_Moresby	Yasuru Airport	Yasuru
KSY	Europe/Istanbul	Kars Airport	Kars
KSZ	Europe/Moscow	Kotlas Airport	Kotlas
KTA	Australia/Perth	Karratha Airport	Karratha
KTB	America/Metlakatla	Thorne Bay Seaplane Base	Thorne Bay
KTC	Africa/Abidjan	Katiola Airport	Katiola
KTD	Asia/Tokyo	Kitadaito Airport	Kitadaitojima
KTE	Asia/Kuala_Lumpur	Kerteh Airport	Kerteh
KTF	Pacific/Auckland	Takaka Airport	
KTG	Asia/Pontianak	Ketapang(Rahadi Usman) Airport	Ketapang-Borneo Island
KTH	America/Anchorage	Tikchik Lodge Seaplane Base	Tikchik
KTI	Asia/Phnom_Penh	Kratie Airport	Kratie
KTJ	Africa/Nairobi	Kichwa Tembo Airport	Kichwa Tembo
KTK	Pacific/Bougainville	Kunua Airport	Kunua
KTL	Africa/Nairobi	Kitale Airport	Kitale
KTM	Asia/Kathmandu	Tribhuvan International Airport	Kathmandu
KTN	America/Sitka	Ketchikan International Airport	Ketchikan
KTO	America/Guyana	Kato Airport	Kato
KTP	America/Jamaica	Tinson Pen Airport	Tinson Pen
KTQ	Europe/Helsinki	Kitee Airport	
KTR	Australia/Darwin	Tindal Airport	
KTS	America/Nome	Brevig Mission Airport	Brevig Mission
KTT	Europe/Helsinki	Kittila Airport	Kittila
KTU	Asia/Kolkata	Kota Airport	Kota
KTV	America/Caracas	Kamarata Airport	Kamarata
KTW	Europe/Warsaw	Katowice International Airport	Katowice
KTX	Africa/Bamako	Koutiala Airport	Koutiala
KTY	Asia/Colombo	Katukurunda Air Force Base	Kalutara
KUA	Asia/Kuala_Lumpur	Kuantan Airport	Kuantan
KUC	Pacific/Tarawa	Kuria Airport	Kuria
KUD	Asia/Kuching	Kudat Airport	Kudat
KUE	Pacific/Guadalcanal	Kukudu Airport	Kolombangara Island
KUF	Europe/Samara	Kurumoch International Airport	Samara
KUG	Australia/Brisbane	Kubin Airport	Moa Island
KUH	Asia/Tokyo	Kushiro Airport	Kushiro
KUK	America/Nome	Kasigluk Airport	Kasigluk
KUL	Asia/Kuala_Lumpur	Kuala Lumpur International Airport	Kuala Lumpur
KUM	Asia/Tokyo	Yakushima Airport	Yakushima
KUN	Europe/Vilnius	Kaunas International Airport	Kaunas
KUO	Europe/Helsinki	Kuopio Airport	Kuopio / Siilinjarvi
KUP	Pacific/Port_Moresby	Kupiano Airport	Kupiano
KUQ	Pacific/Port_Moresby	Kuri Airport	Kuri
KUS	America/Godthab	Kulusuk Airport	Kulusuk
KUT	Asia/Tbilisi	Kopitnari Airport	Kutaisi
KUU	Asia/Kolkata	Kullu Manali Airport	
KUV	Asia/Seoul	Kunsan Air Base	Kunsan
KUX	Pacific/Port_Moresby	Kuyol Airport	
KUY	Pacific/Port_Moresby	Kamusi Airport	Kamusi
KVA	Europe/Athens	Alexander the Great International Airport	Kavala
KVB	Europe/Stockholm	Skovde Airport	Skovde
KVC	America/Nome	King Cove Airport	King Cove
KVD	Asia/Baku	Ganja Airport	Ganja
KVE	Pacific/Port_Moresby	Kitava Airport	Kitava Island
KVG	Pacific/Port_Moresby	Kavieng Airport	Kavieng
KVK	Europe/Moscow	Kirovsk-Apatity Airport	Apatity
KVL	America/Nome	Kivalina Airport	Kivalina
KVM	Asia/Anadyr	Markovo Airport	Markovo
KVR	Asia/Vladivostok	Kavalerovo Airport	Kavalerovo
KVX	Europe/Kirov	Pobedilovo Airport	Kirov
KWA	Pacific/Kwajalein	Bucholz Army Air Field	Kwajalein
KWB	Asia/Jakarta	Dewadaru Airport	Karimunjawa-Karimunjawa Island
KWE	Asia/Shanghai	Longdongbao Airport	Guiyang
KWF	America/Juneau	Waterfall Seaplane Base	Waterfall
KWG	Europe/Zaporozhye	Kryvyi Rih International Airport	Kryvyi Rih
KWH	Asia/Kabul	Khwahan Airport	Khwahan
KWI	Asia/Kuwait	Kuwait International Airport	Kuwait City
KWJ	Asia/Seoul	Gwangju Airport	Gwangju
KWK	America/Nome	Kwigillingok Airport	Kwigillingok
KWL	Asia/Shanghai	Guilin Liangjiang International Airport	Guilin City
KWM	Australia/Brisbane	Kowanyama Airport	Kowanyama
KWN	America/Anchorage	Quinhagak Airport	Quinhagak
KWO	Pacific/Port_Moresby	Kawito Airport	Kawito
KWP	America/Anchorage	West Point Village Seaplane Base	West Point
KWS	Pacific/Guadalcanal	Kwailabesi Airport	Kwailabesi
KWT	America/Anchorage	Kwethluk Airport	Kwethluk
KWV	Pacific/Port_Moresby	Kurwina Airport	Kurwina
KWX	Pacific/Port_Moresby	Kiwai Airport	Kiwai Island
KWY	Africa/Nairobi	Kiwayu Airport	Kiwayu
KWZ	Africa/Lubumbashi	Kolwezi Airport	
KXA	America/Juneau	Kasaan Seaplane Base	Kasaan
KXE	Africa/Johannesburg	P C Pelser Airport	Klerksdorp
KXF	Pacific/Fiji	Koro Island Airport	Koro Island
KXK	Asia/Vladivostok	Komsomolsk-on-Amur Airport	Komsomolsk-on-Amur
KXR	Pacific/Bougainville	Karoola Airport	Buka Island
KXU	Pacific/Tahiti	Katiu Airport	Katiu
KYA	Europe/Istanbul	Konya Airport	Konya
KYD	Asia/Taipei	Lanyu Airport	Orchid Island
KYE	Asia/Beirut	Rene Mouawad Air Base	Tripoli
KYF	Australia/Perth	Yeelirrie Airport	
KYI	Australia/Adelaide	Yalata Mission Airport	Yalata Mission
KYK	America/Anchorage	Karluk Airport	Karluk
KYO	America/New_York	Tampa North Aero Park Airport	Tampa
KYP	Asia/Yangon	Kyaukpyu Airport	Kyaukpyu
KYS	Africa/Bamako	Kayes Dag Dag Airport	
KYT	Asia/Yangon	Kyauktu Airport	Kyauktu
KYU	America/Anchorage	Koyukuk Airport	Koyukuk
KYX	Pacific/Port_Moresby	Yalumet Airport	Yalumet
KYZ	Asia/Krasnoyarsk	Kyzyl Airport	Kyzyl
KZB	America/Anchorage	Zachar Bay Seaplane Base	Zachar Bay
KZC	Asia/Phnom_Penh	Kampong Chhnang Airport	Kampong Chhnang
KZD	Asia/Phnom_Penh	Krakor Airport	Krakor
KZF	Pacific/Port_Moresby	Kaintiba Airport	Kaintiba
KZG	Europe/Berlin	Flugplatz Kitzingen	Kitzingen
KZI	Europe/Athens	Filippos Airport	Kozani
KZN	Europe/Moscow	Kazan International Airport	Kazan
KZO	Asia/Qyzylorda	Kzyl-Orda Southwest Airport	Kzyl-Orda
KZR	Europe/Istanbul	Zafer Airport	Altintas
KZS	Europe/Athens	Kastelorizo Airport	Kastelorizo Island
LAA	America/Denver	Lamar Municipal Airport	Lamar
LAB	Pacific/Port_Moresby	Lab Lab Airport	Lab Lab Mission
LAC	Asia/Kuching	Layang-Layang Airport	Spratley Islands
LAD	Africa/Luanda	Quatro de Fevereiro Airport	Luanda
LAE	Pacific/Port_Moresby	Nadzab Airport	Lae
LAF	America/Indiana/Indianapolis	Purdue University Airport	Lafayette
LAH	Asia/Jayapura	Oesman Sadik Airport	Labuha-Halmahera Island
LAI	Europe/Paris	Lannion-Cote de Granit Airport	Lannion
LAJ	America/Sao_Paulo	Lages Airport	Lages
LAK	America/Yellowknife	Aklavik/Freddie Carmichael Airport	Aklavik
LAL	America/New_York	Lakeland Linder International Airport	Lakeland
LAM	America/Denver	Los Alamos Airport	Los Alamos
LAN	America/Detroit	Capital City Airport	Lansing
LAO	Asia/Manila	Laoag International Airport	Laoag City
LAP	America/Mazatlan	Manuel Marquez de Leon International Airport	La Paz
LAQ	Africa/Tripoli	La Abraq Airport	Al Bayda'
LAR	America/Denver	Laramie Regional Airport	Laramie
LAS	America/Los_Angeles	McCarran International Airport	Las Vegas
LAU	Africa/Nairobi	Manda Airstrip	Lamu
LAW	America/Chicago	Lawton Fort Sill Regional Airport	Lawton
LAX	America/Los_Angeles	Los Angeles International Airport	Los Angeles
LAY	Africa/Johannesburg	Ladysmith Airport	Ladysmith
LAZ	America/Bahia	Bom Jesus da Lapa Airport	Bom Jesus Da Lapa
LBA	Europe/London	Leeds Bradford Airport	Leeds
LBB	America/Chicago	Lubbock Preston Smith International Airport	Lubbock
LBC	Europe/Berlin	Lubeck Blankensee Airport	Lubeck
LBD	Asia/Dushanbe	Khudzhand Airport	Khudzhand
LBE	America/New_York	Arnold Palmer Regional Airport	Latrobe
LBF	America/Chicago	North Platte Regional Airport Lee Bird Field	North Platte
LBG	Europe/Paris	Paris-Le Bourget Airport	Paris
LBH	Australia/Sydney	Palm Beach Seaplane Base	Sydney
LBI	Europe/Paris	Albi-Le Sequestre Airport	Albi/Le Sequestre
LBJ	Asia/Makassar	Komodo Airport	Labuan Bajo - Flores Island
LBK	Africa/Nairobi	Liboi Airport	Liboi
LBL	America/Chicago	Liberal Mid-America Regional Airport	Liberal
LBM	Africa/Maputo	Luabo Airport	Luabo
LBN	Africa/Nairobi	Lake Baringo Airport	Lake Baringo
LBO	Africa/Lubumbashi	Lusambo Airport	Lusambo
LBP	Asia/Kuching	Long Banga Airport	Long Banga
LBQ	Africa/Libreville	Lambarene Airport	Lambarene
LBR	America/Manaus	Labrea Airport	Labrea
LBS	Pacific/Fiji	Labasa Airport	
LBT	America/New_York	Lumberton Regional Airport	Lumberton
LBU	Asia/Kuching	Labuan Airport	Labuan
LBV	Africa/Libreville	Libreville Leon M'ba International Airport	Libreville
LBW	Asia/Makassar	Long Bawan Airport	Long Bawan-Borneo Island
LBX	Asia/Manila	Lubang Airport	
LBY	Europe/Paris	La Baule-Escoublac Airport	La Baule-Escoublac
LBZ	Africa/Luanda	Lucapa Airport	Lucapa
LCA	Asia/Nicosia	Larnaca International Airport	Larnarca
LCB	America/Cuiaba	Pontes e Lacerda Airport	Pontes e Lacerda
LCC	Europe/Rome	Lecce Galatina Air Base	
LCD	Africa/Johannesburg	Louis Trichardt Airport	Louis Trichardt
LCE	America/Tegucigalpa	Goloson International Airport	La Ceiba
LCF	America/Guatemala	Las Vegas Airport	Rio Dulce
LCG	Europe/Madrid	A Coruna Airport	Culleredo
LCH	America/Chicago	Lake Charles Regional Airport	Lake Charles
LCI	America/New_York	Laconia Municipal Airport	Laconia
LCJ	Europe/Warsaw	Lodz Wladyslaw Reymont Airport	Lodz
LCK	America/New_York	Rickenbacker International Airport	Columbus
LCL	America/Havana	La Coloma Airport	Pinar del Rio
LCM	America/Argentina/Cordoba	La Cumbre Airport	La Cumbre
LCN	Australia/Adelaide	Balcanoona Airport	
LCO	Africa/Brazzaville	Lague Airport	Lague
LCP	America/Argentina/Salta	Loncopue Airport	Loncopue
LCQ	America/New_York	Lake City Gateway Airport	Lake City
LCR	America/Bogota	La Chorrera Airport	La Chorrera
LCV	Europe/Rome	Lucca-Tassignano Airport	Lucca
LCX	Asia/Shanghai	Longyan Guanzhishan Airport	Longyan
LCY	Europe/London	London City Airport	London
LDA	Asia/Kolkata	Malda Airport	Malda
LDB	America/Sao_Paulo	Governador Jose Richa Airport	Londrina
LDC	Australia/Lindeman	Lindeman Island Airport	Lindeman Island
LDE	Europe/Paris	Tarbes-Lourdes-Pyrenees Airport	Tarbes/Lourdes/Pyrenees
LDG	Europe/Moscow	Leshukonskoye Airport	Leshukonskoye
LDH	Australia/Lord_Howe	Lord Howe Island Airport	Lord Howe Island
LDI	Africa/Dar_es_Salaam	Lindi Airport	Lindi
LDJ	America/New_York	Linden Airport	Linden
LDK	Europe/Stockholm	Lidkoping-Hovby Airport	Lidkoping
LDM	America/Detroit	Mason County Airport	Ludington
LDN	Asia/Kathmandu	Lamidanda Airport	Lamidanda
LDO	America/Paramaribo	Ladouanie Airport	Aurora
LDS	Asia/Shanghai	Lindu Airport	Yichun
LDU	Asia/Kuching	Lahad Datu Airport	Lahad Datu
LDV	Europe/Paris	Landivisiau Air Base	Landivisiau
LDW	Australia/Perth	Lansdowne Airport	Lansdowne Station
LDX	America/Cayenne	Saint-Laurent-du-Maroni Airport	Saint-Laurent-du-Maroni
LDY	Europe/London	City of Derry Airport	Derry
LDZ	Africa/Johannesburg	Londolozi Airport	Londolozi
LEA	Australia/Perth	Learmonth Airport	Exmouth
LEB	America/New_York	Lebanon Municipal Airport	Lebanon
LEC	America/Bahia	Coronel Horacio de Mattos Airport	Lencois
LED	Europe/Moscow	Pulkovo Airport	St. Petersburg
LEE	America/New_York	Leesburg International Airport	Leesburg
LEF	Africa/Maseru	Lebakeng Airport	Lebakeng
LEH	Europe/Paris	Le Havre Octeville Airport	Le Havre/Octeville
LEI	Europe/Madrid	Almeria International Airport	Almeria
LEJ	Europe/Berlin	Leipzig/Halle Airport	Leipzig
LEK	Africa/Conakry	Tata Airport	Labe
LEL	Australia/Darwin	Lake Evella Airport	
LEM	America/Denver	Lemmon Municipal Airport	Lemmon
LEN	Europe/Madrid	Leon Airport	Leon
LEO	Africa/Libreville	Lekoni Airport	Lekoni
LEP	America/Sao_Paulo	Leopoldina Airport	Leopoldina
LEQ	Europe/London	Land's End Airport	Land's End
LER	Australia/Perth	Leinster Airport	
LES	Africa/Maseru	Lesobeng Airport	Lesobeng
LET	America/Bogota	Alfredo Vasquez Cobo International Airport	Leticia
LEU	Europe/Madrid	Pirineus - la Seu d'Urgel Airport	La Seu d'Urgell Pyrenees and Andorra
LEV	Pacific/Fiji	Levuka Airfield	Bureta
LEW	America/New_York	Auburn Lewiston Municipal Airport	Auburn/Lewiston
LEX	America/New_York	Blue Grass Airport	Lexington
LEY	Europe/Amsterdam	Lelystad Airport	Lelystad
LEZ	America/Tegucigalpa	La Esperanza Airport	La Esperanza
LFB	Africa/Maputo	Lumbo Airport	Lumbo
LFI	America/New_York	Langley Air Force Base	Hampton
LFK	America/Chicago	Angelina County Airport	Lufkin
LFM	Asia/Tehran	Lamerd Airport	Lamerd
LFN	America/New_York	Triangle North Executive Airport	Louisburg
LFO	Africa/Addis_Ababa	Kelafo East Airport	Kelafo
LFP	Australia/Brisbane	Lakefield Airport	Lakefield
LFQ	Asia/Shanghai	Linfen Qiaoli Airport	Linfen
LFR	America/Caracas	La Fria Airport	
LFT	America/Chicago	Lafayette Regional Airport	Lafayette
LFW	Africa/Lome	Lome-Tokoin Airport	Lome
LGA	America/New_York	La Guardia Airport	New York
LGB	America/Los_Angeles	Long Beach /Daugherty Field/ Airport	Long Beach
LGC	America/New_York	LaGrange Callaway Airport	Lagrange
LGD	America/Los_Angeles	La Grande/Union County Airport	La Grande
LGE	Australia/Perth	Mulan Airport	Lake Gregory
LGF	America/Phoenix	Laguna Army Airfield	Yuma Proving Ground(Yuma)
LGG	Europe/Brussels	Liege Airport	Liege
LGH	Australia/Adelaide	Leigh Creek Airport	
LGI	America/Nassau	Deadman's Cay Airport	Deadman's Cay
LGK	Asia/Kuala_Lumpur	Langkawi International Airport	Langkawi
LGL	Asia/Kuching	Long Lellang Airport	Long Datih
LGM	Pacific/Port_Moresby	Laiagam Airport	Laiagam
LGN	Pacific/Port_Moresby	Linga Linga Airport	Linga Linga
LGO	Europe/Berlin	Langeoog Airport	Langeoog
LGP	Asia/Manila	Legazpi City International Airport	Legazpi City
LGQ	America/Guayaquil	Nueva Loja Airport	Lago Agrio
LGR	America/Santiago	Cochrane Airport	Cochrane
LGS	America/Argentina/Mendoza	Comodoro D.R. Salomon Airport	Malargue
LGT	America/Bogota	La Gaviota Airport	
LGU	America/Denver	Logan-Cache Airport	Logan
LGW	Europe/London	London Gatwick Airport	London
LGX	Africa/Mogadishu	Lugh Ganane Airport	Luuq
LGY	America/Caracas	Lagunillas Airport	Lagunillas
LHA	Europe/Berlin	Lahr Airport	
LHE	Asia/Karachi	Alama Iqbal International Airport	Lahore
LHG	Australia/Sydney	Lightning Ridge Airport	
LHI	Asia/Jayapura	Lereh Airport	Lereh-Papua Island
LHK	Asia/Shanghai	Guangzhou MR Air Base	Guanghua
LHP	Pacific/Bougainville	Lehu Airport	Lehu
LHR	Europe/London	London Heathrow Airport	London
LHS	America/Argentina/Rio_Gallegos	Las Heras Airport	Las Heras
LHU	Africa/Windhoek	Lianshulu Airport	Lianshulu Lodge
LHV	America/New_York	William T. Piper Memorial Airport	Lock Haven
LHW	Asia/Shanghai	Lanzhou Zhongchuan Airport	Lanzhou
LIA	Asia/Shanghai	Liangping Airport	Liangping
LIB	Australia/Darwin	Limbunya Airport	Limbunya
LIC	America/Denver	Limon Municipal Airport	Limon
LIE	Africa/Kinshasa	Libenge Airport	Libenge
LIF	Pacific/Noumea	Lifou Airport	Lifou
LIG	Europe/Paris	Limoges Airport	Limoges/Bellegarde
LIH	Pacific/Honolulu	Lihue Airport	Lihue
LII	Asia/Jayapura	Mulia Airport	Mulia-Papua Island
LIK	Pacific/Kwajalein	Likiep Airport	Likiep Island
LIL	Europe/Paris	Lille-Lesquin Airport	Lille/Lesquin
LIM	America/Lima	Jorge Chavez International Airport	Lima
LIN	Europe/Rome	Milano Linate Airport	Milan
LIO	America/Costa_Rica	Limon International Airport	Puerto Limon
LIP	America/Sao_Paulo	Lins Airport	Lins
LIQ	Africa/Kinshasa	Lisala Airport	
LIR	America/Costa_Rica	Daniel Oduber Quiros International Airport	Liberia
LIS	Europe/Lisbon	Humberto Delgado Airport (Lisbon Portela Airport)	Lisbon
LIT	America/Chicago	Bill & Hillary Clinton National Airport/Adams Field	Little Rock
LIV	America/Anchorage	Livengood Camp Airport	Livengood
LIW	Asia/Yangon	Loikaw Airport	Loikaw
LIX	Africa/Blantyre	Likoma Island Airport	Likoma Island
LIY	America/New_York	Wright AAF (Fort Stewart)/Midcoast Regional Airport	Fort Stewart(Hinesville)
LIZ	America/New_York	Loring International Airport	Limestone
LJA	Africa/Lubumbashi	Lodja Airport	Lodja
LJG	Asia/Shanghai	Lijiang Airport	Lijiang
LJN	America/Chicago	Texas Gulf Coast Regional Airport	Angleton/Lake Jackson
LJU	Europe/Ljubljana	Ljubljana Joze Pucnik Airport	Ljubljana
LKA	Asia/Makassar	Gewayentana Airport	Larantuka-Flores Island
LKB	Pacific/Fiji	Lakeba Island Airport	Lakeba Island
LKC	Africa/Brazzaville	Lekana Airport	Lekana
LKD	Australia/Brisbane	Lakeland Airport	Lakeland Downs
LKE	America/Los_Angeles	Kenmore Air Harbor Seaplane Base	Seattle
LKG	Africa/Nairobi	Lokichoggio Airport	Lokichoggio
LKH	Asia/Kuching	Long Akah Airport	Long Akah
LKK	America/Anchorage	Kulik Lake Airport	Kulik Lake
LKL	Europe/Oslo	Banak Airport	Lakselv
LKN	Europe/Oslo	Leknes Airport	Leknes
LKO	Asia/Kolkata	Chaudhary Charan Singh International Airport	Lucknow
LKP	America/New_York	Lake Placid Airport	Lake Placid
LKU	Africa/Nairobi	Lake Rudolf Airport	Lake Rudolf
LKV	America/Los_Angeles	Lake County Airport	Lakeview
LKW	Asia/Muscat	Lekhwair Airport	
LKY	Africa/Dar_es_Salaam	Lake Manyara Airport	Lake Manyara National Park
LKZ	Europe/London	RAF Lakenheath	Lakenheath
LLA	Europe/Stockholm	Lulea Airport	Lulea
LLB	Asia/Shanghai	Libo Airport	Libo County
LLE	Africa/Johannesburg	Riverside Airport	Malelane
LLF	Asia/Shanghai	Lingling Airport	Yongzhou
LLG	Australia/Brisbane	Chillagoe Airport	
LLH	America/Tegucigalpa	Reginaldo Hammer Airport	La Lima
LLI	Africa/Addis_Ababa	Lalibella Airport	Lalibela
LLJ	Asia/Dhaka	Lalmonirhat Airport	Lalmonirhat
LLK	Asia/Baku	Lankaran International Airport	Lankaran
LLL	Australia/Perth	Lissadell Airport	Lissadell Station
LLM	Pacific/Guadalcanal	Long Lama Airport	Long Lama
LLN	Asia/Jayapura	Kelila Airport	Kelila-Papua Island
LLO	Asia/Makassar	Bua Airport	Palopo
LLS	America/Argentina/Cordoba	Alferez Armando Rodriguez Airport	Las Lomitas
LLV	Asia/Shanghai	Luliang Airport	Luliang
LLW	Africa/Blantyre	Lilongwe International Airport	Lilongwe
LLX	America/New_York	Caledonia County Airport	Lyndonville
LLY	America/New_York	South Jersey Regional Airport	Mount Holly
LMA	America/Anchorage	Minchumina Airport	Minchumina
LMB	Africa/Blantyre	Salima Airport	Salima
LMC	America/Bogota	La Macarena Airport	La Macarena
LMD	America/Argentina/Salta	Los Menucos Airport	Los Menucos
LME	Europe/Paris	Le Mans-Arnage Airport	Le Mans/Arnage
LMI	Pacific/Port_Moresby	Lumi Airport	Lumi
LML	Pacific/Kwajalein	Lae Island Airport	Lae Island
LMM	America/Mazatlan	Valle del Fuerte International Airport	Los Mochis
LMN	Asia/Kuching	Limbang Airport	Limbang
LMO	Europe/London	RAF Lossiemouth	Lossiemouth
LMP	Europe/Rome	Lampedusa Airport	Lampedusa
LMQ	Africa/Tripoli	Marsa Brega Airport	
LMR	Africa/Johannesburg	Lime Acres Finsch Mine Airport	Lime Acres
LMS	America/Chicago	Louisville Winston County Airport	Louisville
LMT	America/Los_Angeles	Crater Lake-Klamath Regional Airport	Klamath Falls
LMU	Asia/Pontianak	Letung Airport	Bukit Padi
LMY	Pacific/Port_Moresby	Lake Murray Airport	Lake Murray
LMZ	Africa/Maputo	Palma Airport	Palma
LNA	America/New_York	Palm Beach County Park Airport	West Palm Beach
LNB	Pacific/Efate	Lamen Bay Airport	Lamen Bay
LNC	Pacific/Port_Moresby	Lengbati Airport	
LND	America/Denver	Hunt Field	Lander
LNE	Pacific/Efate	Lonorore Airport	Lonorore
LNF	Pacific/Port_Moresby	Munbil Airport	
LNG	Pacific/Port_Moresby	Lese Airport	Lese
LNH	Australia/Darwin	Lake Nash Airport	Alpurrurulam
LNI	America/Anchorage	Lonely Air Station	Lonely
LNJ	Asia/Shanghai	Lintsang Airfield	Lincang
LNK	America/Chicago	Lincoln Airport	Lincoln
LNL	Asia/Shanghai	Longnan Chengzhou Airport	Longnan
LNM	Pacific/Port_Moresby	Langimar Airport	
LNN	America/New_York	Willoughby Lost Nation Municipal Airport	Willoughby
LNO	Australia/Perth	Leonora Airport	Leonora
LNP	America/New_York	Lonesome Pine Airport	Wise
LNQ	Pacific/Port_Moresby	Loani Airport	Loani
LNR	America/Chicago	Tri-County Regional Airport	Lone Rock
LNS	America/New_York	Lancaster Airport	Lancaster
LNV	Pacific/Port_Moresby	Londolovit Airport	Londolovit
LNX	Europe/Moscow	Smolensk North Airport	Smolensk
LNY	Pacific/Honolulu	Lanai Airport	Lanai City
LNZ	Europe/Vienna	Linz Horsching Airport	Linz
LOA	Australia/Brisbane	Lorraine Airport	
LOB	America/Santiago	San Rafael Airport	Los Andes
LOC	Australia/Adelaide	Lock Airport	Lock
LOD	Pacific/Efate	Longana Airport	Longana
LOE	Asia/Bangkok	Loei Airport	
LOF	Pacific/Kwajalein	Loen Airport	Loen Island
LOH	America/Guayaquil	Camilo Ponce Enriquez Airport	La Toma (Catamayo)
LOI	America/Sao_Paulo	Helmuth Baungarten Airport	Lontras
LOK	Africa/Nairobi	Lodwar Airport	Lodwar
LOL	America/Los_Angeles	Derby Field	Lovelock
LOM	America/Mexico_City	Francisco Primo de Verdad y Ramos Airport	Lagos de Moreno
LOO	Africa/Algiers	Laghouat Airport	Laghouat
LOP	Asia/Makassar	Lombok International Airport	Mataram
LOQ	Africa/Gaborone	Lobatse Airport	Lobatse
LOS	Africa/Lagos	Murtala Muhammed International Airport	Lagos
LOT	America/Chicago	Lewis University Airport	Chicago/Romeoville
LOU	America/Kentucky/Louisville	Bowman Field	Louisville
LOV	America/Monterrey	Monclova International Airport	
LOW	America/New_York	Louisa County Airport/Freeman Field	Louisa
LOY	Africa/Nairobi	Loyengalani Airport	Loyengalani
LOZ	America/New_York	London-Corbin Airport/Magee Field	London
LPA	Atlantic/Canary	Gran Canaria Airport	Gran Canaria Island
LPB	America/La_Paz	El Alto International Airport	La Paz / El Alto
LPC	America/Los_Angeles	Lompoc Airport	Lompoc
LPD	America/Bogota	La Pedrera Airport	La Pedrera
LPE	America/Bogota	La Primavera Airport	Costa Rica
LPF	Asia/Shanghai	Liupanshui Yuezhao Airport	Liupanshui
LPG	America/Argentina/Buenos_Aires	La Plata Airport	La Plata
LPI	Europe/Stockholm	Linkoping City Airport	Linkoping
LPJ	America/Caracas	Armando Schwarck Airport	Guayabal
LPK	Europe/Moscow	Lipetsk Airport	Lipetsk
LPL	Europe/London	Liverpool John Lennon Airport	Liverpool
LPM	Pacific/Efate	Lamap Airport	Lamap
LPN	Pacific/Port_Moresby	Leron Plains Airport	Leron Plains
LPO	America/Chicago	La Porte Municipal Airport	La Porte
LPP	Europe/Helsinki	Lappeenranta Airport	Lappeenranta
LPQ	Asia/Vientiane	Luang Phabang International Airport	Luang Phabang
LPS	America/Los_Angeles	Lopez Island Airport	Lopez
LPT	Asia/Bangkok	Lampang Airport	
LPU	Asia/Makassar	Long Apung Airport	Long Apung-Borneo Island
LPX	Europe/Riga	Liepaja International Airport	Liepaja
LPY	Europe/Paris	Le Puy-Loudes Airport	Le Puy/Loudes
LQK	America/New_York	Pickens County Airport	Pickens
LQM	America/Bogota	Caucaya Airport	Puerto Leguizamo
LQN	Asia/Kabul	Qala-I-Naw Airport	Qala-I-Naw
LRA	Europe/Athens	Larisa Air Base	Larisa
LRB	Africa/Maseru	Leribe Airport	Leribe
LRD	America/Chicago	Laredo International Airport	Laredo
LRE	Australia/Brisbane	Longreach Airport	Longreach
LRF	America/Chicago	Little Rock Air Force Base	Jacksonville
LRG	Asia/Karachi	Loralai Airport	Loralai
LRH	Europe/Paris	La Rochelle-Ile de Re Airport	La Rochelle/Ile de Re
LRJ	America/Chicago	Le Mars Municipal Airport	Le Mars
LRL	Africa/Lome	Niamtougou International Airport	Niamtougou
LRM	America/Santo_Domingo	Casa De Campo International Airport	La Romana
LRQ	America/Winnipeg	Laurie River Airport	Laurie River
LRR	Asia/Tehran	Lar Airport	Lar
LRS	Europe/Athens	Leros Airport	Leros Island
LRT	Europe/Paris	Lorient South Brittany (Bretagne Sud) Airport	Lorient/Lann/Bihoue
LRU	America/Denver	Las Cruces International Airport	Las Cruces
LRV	America/Caracas	Los Roques Airport	Gran Roque Island
LSA	Pacific/Port_Moresby	Losuia Airport	Losuia
LSB	America/Denver	Lordsburg Municipal Airport	Lordsburg
LSC	America/Santiago	La Florida Airport	La Serena-Coquimbo
LSE	America/Chicago	La Crosse Municipal Airport	La Crosse
LSF	America/New_York	Lawson Army Air Field (Fort Benning)	Fort Benning(Columbus)
LSH	Asia/Yangon	Lashio Airport	Lashio
LSI	Europe/London	Sumburgh Airport	Lerwick
LSJ	Pacific/Port_Moresby	Long Island Airport	Long Island
LSK	America/Denver	Lusk Municipal Airport	Lusk
LSL	America/Costa_Rica	Los Chiles Airport	Los Chiles
LSM	Asia/Kuching	Long Semado Airport	Long Semado
LSN	America/Los_Angeles	Los Banos Municipal Airport	Los Banos
LSO	Europe/Paris	Les Sables-d'Olonne Talmont Airport	Les Sables-d'Olonne
LSP	America/Caracas	Josefa Camejo International Airport	Paraguana
LSQ	America/Santiago	Maria Dolores Airport	Los Angeles
LSS	America/Guadeloupe	Terre-de-Haut Airport	Les Saintes
LST	Australia/Hobart	Launceston Airport	Launceston
LSU	Asia/Kuching	Long Sukang Airport	Long Sukang
LSV	America/Los_Angeles	Nellis Air Force Base	Las Vegas
LSW	Asia/Jakarta	Malikus Saleh Airport	Lhok Seumawe-Sumatra Island
LSX	Asia/Jakarta	Lhok Sukon Airport	Lhok Sukon-Sumatra Island
LSY	Australia/Sydney	Lismore Airport	Lismore
LSZ	Europe/Zagreb	Losinj Island Airport	Losinj
LTA	Africa/Johannesburg	Tzaneen Airport	Tzaneen
LTB	Australia/Hobart	Latrobe Airport	Latrobe
LTC	Africa/Ndjamena	Lai Airport	Lai
